pt,title,lokasi,gaji,level,pendidikan,tipePekerjaan,url,posteDate
"PT. PALMERAH MOTORINDO","Administrasi Staff","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/administrasi/staf-admin/administrasi-staff-pt-palmerah-motorindo-jakarta-barat.html,"Posted Date: Januari 4, 2024"
Alufur,"Staff Estimator","Jakarta Utara","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/konstruksi-dan-bangunan/estimator/staff-estimator-alufur-jakarta-utara.html,"Posted Date: Januari 4, 2024"
"PT. MIKEDA KEBUT TERUSSS (OPTIK MIKEDA)","Sales Promotion Girl/ Boy","Jakarta Timur","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/ritel/asisten-ritel/sales-promotion-girl-boy-pt-mikeda-kebut-terusss-optik-mikeda-jakarta-timur.html,"Posted Date: Januari 2, 2024"
"PT. MIKEDA KEBUT TERUSSS (OPTIK MIKEDA)","Kasir (Cashier)","Jakarta Timur","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/ritel/asisten-ritel/kasir-cashier-pt-mikeda-kebut-terusss-optik-mikeda-jakarta-timur.html,"Updated:  Januari 10, 2024"
"PT. Agung Mandiri sentosa","Admin Staff","Jakarta Utara",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/administrasi/staf-admin/admin-staff-pt-agung-mandiri-sentosa-jakarta-utara.html,"Posted Date: Januari 2, 2024"
"PT. ERA BANGUNAN","Staff Purchasing","Jakarta Barat",Negosiasi,"Junior / Entry Level",Diploma/D1/D2/D3,"SMA / SMK / STM",https://www.loker.id/transportation-logistics/purchasing-pembelian/staff-purchasing-pt-era-bangunan-jakarta-barat.html,"Posted Date: Desember 29, 2023"
Ruangprint,"Staff CS Markom","Jakarta Barat","Rp.2 – 3 Juta","Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/pemasaran/komunikasi-pemasaran/staff-cs-markom-ruangprint-jakarta-barat.html,"Posted Date: Desember 29, 2023"
Ruangprint,"Cleaning Service","Jakarta Barat",Negosiasi,"Junior / Entry Level","SMA / SMK / STM","Purna Waktu / Full Time",https://www.loker.id/pekerjaan-umum/cleaning-service/cleaning-service-ruangprint-jakarta-barat.html,"Posted Date: Desember 29, 2023"
"PT. Takawa Multi Global","Staff Administrasi Keuangan","Jakarta Utara","Rp.4 – 5 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/administrasi/staf-admin/staff-administrasi-keuangan-pt-takawa-multi-global-jakarta-utara.html,"Posted Date: Desember 21, 2023"
"MBC Group","Tax Accounting","Jakarta Barat","Rp.3 – 4 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/akuntansi-keuangan/akuntansi-finansial/tax-accounting-mbc-group-jakarta-barat.html,"Updated:  Februari 28, 2024"
"PT SUN LOGISTICS","Finance Staff","Jakarta Utara","Rp.4 – 5 Juta","Junior / Entry Level",Diploma/D1/D2/D3,"Sarjana / S1",https://www.loker.id/akuntansi-keuangan/akuntansi-finansial/finance-staff-pt-sun-logistics-jakarta-utara.html,"Posted Date: Desember 19, 2023"
