nama_perusahaan,judul_pekerjaan,lokasi_pekerjaan,gaji_pekerjaan,type_pekerjaan,deskripsi_pekerjaan,tanggal_diposting,link
"KS Inovatif","Costumer Service","Tamanan, Yogyakarta","Rp2.700.000 - Rp3.100.000 per bulan","Daily worker","

KS Inovatif merupakan sebuah
usaha dalam bentuk project tahunan di bidang pendidikan. Fokus utamanya adalah
percetakan buku dan penyediaan bimbingan belajar untuk siswa yang akan
melanjutkan ke Perguruan Tinggi Negeri.

 

Job Descriptions

Dibutuhkan Costumer
Service/Admin untuk project tahunan. Pekerja akan dikontrak selama 2 bulan (Mei
dan Juni 2024). Adapun deskripsi pekerjaannya adalah

Admin Marketplace

Mengelola aplikasi KS Inovatif

Membuat rekap penjualan harian
produk

Membantu packaging produk

 

Job RequirementsPendidikan minimal SMA atau
setara.

Memiliki media sosial.

Pemahaman dasar terhadap
Microsoft Word dan Powerpoint.

Kemampuan komunikasi yang baik
dan ramah dalam berinteraksi dengan pelanggan.

Pemahaman dasar tentang produk
atau layanan perusahaan.Persyaratan minimum:Mencari kandidat untuk bekerja pada:Senin: Pagi, SiangSelasa: Pagi, SiangRabu: Pagi, SiangKamis: Pagi, SiangJum'at: Pagi, SiangSabtu: Pagi, SiangTidak diperlukan pengalaman kerja untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 02 May 2024Gaji yang diinginkan: Rp2,000,000 - Rp2,600,000 per bulan","1 hari yang lalu",https://id.jobstreetexpress.com//job/Costumer-Service-8afef78622e192ff8b0f1e1efc7c6cc7?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=8ea7e774-c8d5-4bdb-bf37-c14088622498&sp=serp&sponsored=false&sq=&sr=16&tk=zsNizCAVEh2aaDEmHGCq-1u3D3jrbzgRoZ23PPy6F&trigger_source=serp
"Dealer Selectride Ciateul","Staff Desain Grafis","Kelurahan Pungkur, Jawa Barat","Rp4.000.000 - Rp8.000.000 per bulan",,"Tanggung Jawab Pekerjaan :Membuat konten untuk media promosi perusahaanMendesain banner dan brosur Persyaratan Pekerjaan :Pendidikan min. SMA/SMKUmur maks. 27 tahunBerpengalaman dibidang terkaitMenguasai photoshop, kanva dan AI ToolsPersyaratan minimum:Tersedia jam fleksibelDiperlukan 1 tahun pengalaman kerja yang relevan untuk posisi iniPelamar harus memiliki KTP","1 hari yang lalu",https://id.jobstreetexpress.com//job/Desain-Grafis-be7f648682a231dab48e04628f11ba1f?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=8ea7e774-c8d5-4bdb-bf37-c14088622498&sp=serp&sponsored=false&sq=&sr=17&tk=zsNizCAVEh2aaDEmHGCq-1u3D3jrbzgRoZ23PPy6F&trigger_source=serp
"CV Sinar Surya Utama","Staff Produksi","Kelurahan Pasirluyu, Jawa Barat",,,"REQUIREMENTS:• Usia 23 - 35 tahun• Pendidikan min. SMA/SMK• Memiliki min. 1 tahun pengalaman di perusahaan/pabrik manufaktur • Mempunyai semangat dan komitmen terhadap pekerjaan• Teliti, rajin, dan mampu bekerjasama dalam tim• Mampu menggunakan Microsoft OfficeJOB DESK :• Memastikan kelancaran proses produksi secara menyeluruh• Memastikan dan memeriksa target untuk setiap tahapan produksi• Memastikan dan menghitung pemakaian bahan baku secara efisien• Memastikan Deadline Produksi setiap project terpenuhi . Mengumpulkan dan mengolah data hasil produksi untuk laporan• Membuat Jadwal Produksi untuk setiap project dan divisi• Membuat Order Produksi untuk dibagikan kepada setiap divisiPersyaratan minimum:Tersedia jam fleksibelDiperlukan 1 tahun pengalaman kerja yang relevan untuk posisi iniPelamar harus memiliki KTP","Sekitar 3 jam yang lalu",https://id.jobstreetexpress.com//job/Staff-Produksi-0457b82d105beda1b966c3190c84df09?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=8ea7e774-c8d5-4bdb-bf37-c14088622498&sp=serp&sponsored=false&sq=&sr=18&tk=zsNizCAVEh2aaDEmHGCq-1u3D3jrbzgRoZ23PPy6F&trigger_source=serp
"PT Kebayoran Pharma","Staff Administrasi",Jakarta,,,"Tanggung Jawab
Pekerjaan

 Menginput data Melakukan pekerjaan yang berkaitan dengan posisi Staff
Administrasi Melakukan pembukuan ringan Melakukan pendataan database Melakukan Filling Dokumen / Data









 

Kriteria

 Usia maksimal 25 tahun Pendidikan minimal SLTA/SMK Menguasai Microsoft Office  Memiliki kemampuan komunikasi yang baik Memiliki ketelitian, disiplin dan mampu bekerja dibawah
tekanan Mampu bekerja sama dalam kelompok ataupun individu Memiliki pengalaman 1 tahun dalam bidang yang sama di bidang
administrasi











Persyaratan minimum:Tersedia jam fleksibelDiperlukan 1 tahun pengalaman kerja yang relevan untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 01 May 2024","7 hari yang lalu",https://id.jobstreetexpress.com//job/Administrasi-f54b696d6b648ebb8facbbc891e16f53?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=8ea7e774-c8d5-4bdb-bf37-c14088622498&sp=serp&sponsored=false&sq=&sr=19&tk=zsNizCAVEh2aaDEmHGCq-1u3D3jrbzgRoZ23PPy6F&trigger_source=serp
"Black N White Venue",Waiter/Waitress,"Kuningan, Jakarta",,"Full time","Kualifikasi :• Berpenampilan Rapih
• Berusia Maksimal 30 thn
• Mampu bekerja dibawah tekanan
• Cekatan dan gesit
• Gaji 2.7jt  - 3.1 jt 
• Pengalaman 1 tahun bekerja di coffeeshop
Tugas Dan Tanggung Jawab
• Menyapa tamu ketika datang 
• Membersihkan meja 
• Menerima pesanan pelanggan 
• Mengantarkan makanan atau minuman ke meja pelanggan 
• Menyediakan meja untuk pelanggan 
• Memberikan bantuan kepada pelanggan ketika dipanggil 
• Menawarkan menu terbaik yang ada di Cafe
• Menawarkan kembali menu lain sebagai penutup
• Menjaga kebersihan Cafe
• Menjalankan fungsi kasir
Persyaratan minimum:Tersedia jam fleksibelDiperlukan 1 tahun pengalaman kerja yang relevan untuk posisi iniPelamar harus memiliki KTPGaji yang diinginkan: Rp2,700,000 - Rp3,100,000 per bulan","1 hari yang lalu",https://id.jobstreetexpress.com//job/Waiter-Waitress-84dd7554979b3ded7e9404d85abd0c7f?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=8ea7e774-c8d5-4bdb-bf37-c14088622498&sp=serp&sponsored=false&sq=&sr=20&tk=zsNizCAVEh2aaDEmHGCq-1u3D3jrbzgRoZ23PPy6F&trigger_source=serp
"GM Production Indonesia",SUPERVISOR,"Caturtunggal, Yogyakarta",,"Full time","Kami adalah perusahaan yang bergerak di bidang Event Organizer &
MICE, saat ini kami sedang mencari kandidat terbaik untuk bergabung dan
berkembang bersama kami.Requirement1.      Pendidikan minimal D3/S1 semua jurusan2.      Mahir menggunakan microsoft office3.      Diutamakan pengalaman dibidang event organizer4.      Memiliki kemampuan dibidang Multimedia5.      Memiliki pengetahuan tentang After Effects dan
Adobe Products menjadi nilai plus6.      Mempunyai jiwa kepemimpinan, jujur dan menyukai
tantangan7.      Memiliki kemampuan komunikasi dan interpersonal
yang baik8.      Mampu bekerjasama didalam tim maupun mandiri  Job Description1.      
Sebagai penanggung jawab
dalam mengatur pekerjaan para staf pelaksana (staf di bawahnya)2.      
Menegakkan aturan yang
telah dibuat oleh perusahaan agar tercipta kedisiplinan kerja3.      
Mengontrol dan memberikan
evaluasi terhadap kinerja bawahannya4.      
Membantu mengatasi
permasalahan tim dan ikut melakukan atau mendampingi tim









5.      
Planing, Organizing,
Staffing, Directing, ControlingPersyaratan minimum:Tersedia jam fleksibelDiperlukan 2-3 tahun pengalaman kerja yang relevan untuk posisi iniPelamar harus memiliki KTPGaji yang diinginkan: Rp4,000,000 - Rp8,000,000 per bulan","6 hari yang lalu",https://id.jobstreetexpress.com//job/SUPERVISOR-7423ae386f48ae2c325383d683322ad1?abstract_type=original&fsv=true&sfjt=&sl=&sp=sserp_bottom&sponsored=true&sq=&sr=13&tk=zsNizCAVEh2aaDEmHGCq-1u3D3jrbzgRoZ23PPy6F&trigger_source=serp
"ABC Cooking Studio","Studio Consultant (Cooking/Pastry Experiance)",Jakarta,,,"Job Description :1. Persuade customers to purchase our lessons to acquire a new hobby, eat healthily and improve their quality of life.2. Acquire cooking and baking skills, including knowledge of food, hygiene and ingredients handling.3. Conduct lessons with appropriate demonstration and keep customers motivated.4. Deliver quality lessons with excellent manners and professionalism.5. Assist customers to find the most appropriate cooking or baking plan.6. Attend to all customers proactively and accountable for the cleanliness of kitchen equipment and tools.7. Motivate and inspire the customers during lessons.8. Perform other ad-hoc duties including manning the reception, answering phone enquiries, ingredients division, etc.Requirements :1. Fresh Graduates are welcome to apply (Diploma/Bachelor's degree in Culinary Arts/Tata Boga, Hospitality, Hotel Management, Marketing (Marketing Communication), Business Management)2. Maximum 28 years old3. Maximum less than 6 months work experiance in Culinary/Hospitality/Food & Beverage Field4. Applicants with Sales or Culinary background are preferred.5. Understanding of the sales process and dynamics.6. Positive mindset and a strong team player.7. 8 days off per month and shift work.8. Willing to be placed in Senayan City, Central Park, PIK Avenue, Summarecon Mall SerpongPersyaratan minimum:Tersedia jam fleksibelDiperlukan 1 tahun pengalaman kerja yang relevan untuk posisi iniPelamar harus memiliki KTP","5 hari yang lalu",https://id.jobstreetexpress.com//job/Studio-Consultant-1836f92b0e4afc5ccad5f25aa0987746?abstract_type=original&fsv=true&sfjt=&sl=&sp=sserp_bottom&sponsored=true&sq=&sr=14&tk=zsNizCAVEh2aaDEmHGCq-1u3D3jrbzgRoZ23PPy6F&trigger_source=serp
"Art On The Table","Accounting (Urgent)","Seminyak, Bali",,,"AccountingDeskripsi Pekerjaan:Menginput dan menjurnal transaksi harianMemastikan semua data akurat dan lengkap tercatatMembuat pembukuan keuanganKualifikasi:Minimal pendidikan SMA/K SederajatMemiliki pengalaman kerja di bidang Akuntansi Mengerti pembukuan keuanganMengerti PajakBisa berbahasa inggirsTeliti dan dapat bekerjasama dengan timJadwal bekerja Senin - Sabtu Pukul 09.00 - 17.00Benefit:GajiTHRBonusBPJSPersyaratan minimum:Mencari kandidat untuk bekerja pada:Senin: PagiSelasa: PagiRabu: PagiKamis: PagiJum'at: PagiSabtu: PagiDiperlukan 1 tahun pengalaman kerja yang relevan untuk posisi iniPelamar harus memiliki KTP","8 hari yang lalu",https://id.jobstreetexpress.com//job/Accounting-87c31f3db00e771e17fea66eb0cb6c20?abstract_type=original&fsv=true&sfjt=&sl=&sp=sserp_bottom&sponsored=true&sq=&sr=15&tk=zsNizCAVEh2aaDEmHGCq-1u3D3jrbzgRoZ23PPy6F&trigger_source=serp
"Angelina Batik","Admin Online Shop","Kelurahan Susukan, Jakarta","Rp200.000 - Rp280.000 per hari","Part time","Tanggung Jawab Pekerjaan :Follow up customer/pelanggan.Merekap penjualan sales.Memonitoring kunjungan sales ke toko/outlet.Membuat nota/invoice penjualan barang.Melakukan aktivitas input barang baru.Peryaratan Pekerjaan :Pendidikan SMA/SMK Sederajat, D3.Bisa mengoperasikan Mirosoft Office (Excel dan Word).Bisa menguasai sosial media (instagram,tiktok, dan lainlain).Bisa bekerja individu dan team.Cekatan, teliti, dan inisiatif.Mampu bekerja dan dibawah tekanan.Persyaratan minimum:Mencari kandidat untuk bekerja pada:Senin: PagiSelasa: PagiRabu: PagiKamis: PagiJum'at: PagiTidak diperlukan pengalaman kerja untuk posisi iniKartu izin tinggal dapat diberikan untuk posisi iniTanggal mulai kerja: 01 May 2024Gaji yang diinginkan: Rp200,000 - Rp280,000 per hari","7 hari yang lalu",https://id.jobstreetexpress.com//job/Admin-a8a883d85e7bba9088c84e66647b8900?abstract_type=original&fsv=true&sfjt=&sl=&sp=sserp_top&sponsored=true&sq=&sr=21&tk=zsNizCAVEh2aaDEmHGCq-KwgX9BbpHI8yeVwl6QdK&trigger_source=serp
"Dahayu Kencana Parahyangan","Sales Interior","Desa Kertajaya, Jawa Barat","Tanpa pengalaman kerja","Full time","Pendidikan min Diploma/S1 segala jurusan, lulusan Desain Interior, Arsitek, Manajemen Bisnis menjadi nilai plusFresh Graduate dipersilahkan melamar, Pengalaman di Kontraktor, Industri Desain Interior atau sejenisnya menjadi nilai plusMemiliki pengetahuan mendalam tentang produk & tren terkini dalam interiorKemampuan komunikasi verbal dan tulisan yang baik.Mampu menjalin hubungan baik dengan pelanggan, kontraktor, dan tim internal.Kemampuan analisis data penjualan dan kemampuan membuat laporan yang akuratKreatif dalam menciptakan strategi penjualan dan pemasaranPenempatan Kota Baru Parahyangan - Bandung Barat (Proses Rekrutmen di Kopo Bandung)Benefit :Gaji Pokok UMK Kab Bandung Barat 3.5 jt/ BlnKomisi PenjualanBPJS Kesehatan dan KetenagakerjaanPersyaratan minimum:Tersedia jam fleksibelTidak diperlukan pengalaman kerja untuk posisi iniPelamar harus memiliki KTPTanggal mulai kerja: 01 May 2024Gaji yang diinginkan: Rp3,500,000 - Rp5,000,000 per bulan","Sekitar 4 jam yang lalu",https://id.jobstreetexpress.com//job/Sales-Interior-405a15ba9a0ffecc3e46c327e9fb3808?abstract_type=original&fsv=true&sfjt=&sl=&sp=sserp_top&sponsored=true&sq=&sr=22&tk=zsNizCAVEh2aaDEmHGCq-KwgX9BbpHI8yeVwl6QdK&trigger_source=serp
"PT Pawprints Pangan Pemeliharaan","Customer Service","Gandaria, Jakarta","Part time",,"Customer Service Tanggung Jawab Pekerjaan:• Menanggapi sebaik mungkin pertanyaan pelangganberkaitan pesanan masa lalu, sekarang, dan yang tertunda.• Menjawab dengan cekatan panggilan telepon, email, maupun faks.• Mengisi berbagai dokumen.• Menyelesaikan masalah yang dialami oleh pelanggan.• Mempertahankan selalu berbagai sikap positif, profesional, empati dihadapan para pelanggan.• Menanggapi berbagai pertanyaan dengan cepat, tepat, dan segara.• Menyimpan seluruh catatan yang berhubungan denganinteraksinya dengan pelanggan, komentar, transaksi, hingga keluhan.• Mengelola tim untuk perwakilan layanan pelanggan junior.• Memastikan kepuasan juga memberikan dukungan kepadapelanggan secara profesional tanpa mengharapkan di luarketentuan perusahaan.Persyaratan Pekerjaan:• Kandidat adalah lulusan SMK atau lulusan lainnya yang setara.• 1 tahun pengalaman di bidang terkait.• Memiliki kemampuan bahasa pada tingkat• Memiliki pengalaman dalam Microsoft Office Excel pada tingkat• Mempunyai keterampilan dalam data entry yang meruapakan suatu  keharusan.• Harus bisa menjadi pemain dalam tim serta tampil denganbaik di bawah tekanan.• Harus dapat mengoperasikan computer dengan mahirdalam menavigasi lewat beberapa layar.• Mempunyai kemampuan komunikasi verbal kuat, sehingga bisa berkoordinasi bersama pelanggan juga timpenjualan di luar serta manajemen penjualan lewattelepon.• Memiliki keterampilan dalam mendengar dan berkomunikasi secara baik, sehingga ketika berbicaradengan konsumen segera tanggap atas apa yang ditanyakan dan diucapkan pelanggan.Persyaratan minimum:Mencari kandidat untuk bekerja pada:Senin: Pagi, Siang, SoreSelasa: Pagi, Siang, SoreRabu: Pagi, Siang, SoreKamis: Pagi, Siang, SoreJum'at: Pagi, Siang, SoreSabtu: Pagi, Siang, SoreMinggu: Pagi, Siang, SoreDiperlukan 1 tahun pengalaman kerja yang relevan untuk posisi iniPelamar harus memiliki KTP","Sekitar 1 jam yang lalu",https://id.jobstreetexpress.com//job/Customer-Service-09418b8d6939dc60517c43d918632c91?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=ae991902-b33c-4e7a-8e91-4424a949115c&sp=serp&sponsored=false&sq=&sr=21&tk=zsNizCAVEh2aaDEmHGCq-KwgX9BbpHI8yeVwl6QdK&trigger_source=serp
"Level Up Hair & Beauty Salon",Admin,"Bulusan, Jawa Tengah","Rp3.500.000 - Rp5.000.000 per bulan",,"Tanggung Jawab Pekerjaan:• Menanggapi sebaik mungkin pertanyaan pelanggan berkaitan pesanan masa lalu, sekarang, dan yang tertunda.• Menjawab dengan cekatan panggilan telepon, email, maupun faks.• Mengisi berbagai dokumen.• Menyelesaikan masalah yang dialami oleh pelanggan.• Mempertahankan selalu berbagai sikap positif, profesional, empati dihadapan para pelanggan.• Menanggapi berbagai pertanyaan dengan cepat, tepat, dan segara.• Menyimpan seluruh catatan yang berhubungan dengan interaksinya dengan pelanggan, komentar, transaksi, hingga keluhan.• Mengelola tim untuk perwakilan layanan pelanggan junior.• Memastikan kepuasan juga memberikan dukungan kepada pelanggan secara profesional tanpa mengharapkan di luar ketentuan perusahaan. Persyaratan Pekerjaan:• Kandidat adalah lulusan SMK atau lulusan lainnya yang setara.• 1 tahun pengalaman di bidang terkait.• Memiliki kemampuan bahasa pada tingkat• Memiliki pengalaman dalam Microsoft Office Excel pada tingkat• Mempunyai keterampilan dalam data entry yang meruapakan suatu  keharusan.• Harus bisa menjadi pemain dalam tim serta tampil dengan baik di bawah tekanan.• Harus dapat mengoperasikan computer dengan mahir dalam menavigasi lewat beberapa layar.• Mempunyai kemampuan komunikasi verbal kuat, sehingga bisa berkoordinasi bersama pelanggan juga tim penjualan di luar serta manajemen penjualan lewat telepon.• Memiliki keterampilan dalam mendengar dan berkomunikasi secara baik, sehingga ketika berbicara dengan konsumen segera tanggap atas apa yang ditanyakan dan diucapkan pelanggan.Persyaratan minimum:Tersedia jam fleksibelDiperlukan 1 tahun pengalaman kerja yang relevan untuk posisi iniKartu izin tinggal dapat diberikan untuk posisi ini","1 hari yang lalu",https://id.jobstreetexpress.com//job/Admin-a6757f622c4d68bfa81a183a4348d552?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=ae991902-b33c-4e7a-8e91-4424a949115c&sp=serp&sponsored=false&sq=&sr=22&tk=zsNizCAVEh2aaDEmHGCq-KwgX9BbpHI8yeVwl6QdK&trigger_source=serp
"Restoran Bukit Bintang","Office Staff","Tebet, Jakarta","Tanpa pengalaman kerja",,"Tanggung Jawab Pekerjaan :​Memelihara kebersihan dan kesehatan di seluruh area Melaksanakan pelayanan kepada tamu, kebersihan dan keindahan areaMemelihara dan menjamin kebersihan toilet Memelihara dan selalu menjaga kebersihan dan kesehatan, employee toilet, dan seluruh area Persyaratan Pekerjaan :​​Pendidikan minimal SD. Pengalaman / Non Pengalaman Ramah dan komunikatif. Mandiri dan mampu bekerjasama dalam tim.Persyaratan minimum:Tersedia jam fleksibelDiperlukan 1 tahun pengalaman kerja yang relevan untuk posisi iniPelamar harus memiliki KTP","5 hari yang lalu",https://id.jobstreetexpress.com//job/Office-Staff-bb03fa2b1ec425cd7d1666036e3dcc1b?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=ae991902-b33c-4e7a-8e91-4424a949115c&sp=serp&sponsored=false&sq=&sr=23&tk=zsNizCAVEh2aaDEmHGCq-KwgX9BbpHI8yeVwl6QdK&trigger_source=serp
"OK Dental Clinic",Resepsionis,Jakarta,"Tanpa pengalaman kerja","Tanpa pengalaman kerja","Deskripsi Pekerjaan :Menyimpan catatan karyawan baik fisik maupun digitalMelakukan perawatan arsip data pelanggan maupun mitra eksternalMendistribusikan surat masuk dan keluarMenjaga catatan arsip karyawan baik dalam bentuk fisik maupun digitalMenyiapkan laporan dan presentasi rutinMengatur, menyimpan dan mencetak dokumen perusahaan sesuai dengan kebutuhanMenjawab dan mengalihkan panggilan teleponMengatur perjalanan bisnisMengupdate kebijakan kantorPersyaratan Pekerjaan :Memiliki pengetahuan mengenai kebijakan dan prosedur kantorBerpengalaman dalam menggunakan MS OfficeMemiliki keterampilan organisasi dan manajemen waktu yang baikMemiliki kemampuan komunikasi yang baik dalam verbal dan tulisanMemiliki atensi yang baik terhadap detail dan selalu berupaya untuk menyelesaikan masalahSMK/SMA atau tingkat pendidikan yang lebih tinggi, dan memiliki kualifikasi sebagai staff administrasi, atau sekretaris adalah nilai plusPersyaratan minimum:Tersedia jam fleksibelTidak diperlukan pengalaman kerja untuk posisi iniPelamar harus memiliki KTP","5 hari yang lalu",https://id.jobstreetexpress.com//job/Resepsionis-0999775c11873a0182c4b53f8a63db3e?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=ae991902-b33c-4e7a-8e91-4424a949115c&sp=serp&sponsored=false&sq=&sr=24&tk=zsNizCAVEh2aaDEmHGCq-KwgX9BbpHI8yeVwl6QdK&trigger_source=serp
"Global Art - Pondok Indah",Admin,Jakarta,"Tanpa pengalaman kerja","Tanpa pengalaman kerja","Tanggung Jawab Pekerjaan :​​• Menyapa dan mengarahkan tamu kantor dan menjawab panggilan telepon.​• Menjadwalkan janji atau rencana temu dan menindaklanjutinya dalam kalendar.​• Menjadwalkan dan mengatur pertemuan antar staf dan klien.•  Menerima dan membagikan surat.​ • Memastikan inventaris kantor tersedia.​• Melakukan akuntansi dan pembukuan.​• Menyiapkan bantuan komunikasi seperti memo, email, invoices, laporan dan lainnya.​• Menulis dan Mengedit dokumen dari surat menjadi laporan dan atau dokumentasi arahan.​• Membuat dan menjaga sistem pengarsipan, baik fisik maupun elektronik.​​Persyaratan Pekerjaan :​• Kandidat adalah lulusan (Diploma, Sertifikasi, SMU, SMK) atau lulusan lainnya yang setara​• 1 tahun pengalaman di bidang terkait​• Memiliki pengalaman kerja sebagai sekretaris​• Memiliki kemampuan bahasa (Inggris, Bahasa Indonesia) pada tingkat (dasar/fasih)​• Memiliki pengalaman dalam (Microsoft Office) pada tingkat (dasar/terampil)​• Memiliki kemampuan melakukan pembukuan dasar​• Kemampuan mengatur, pembagian waktu dan komunikasi yang baik​• Memiliki kemampuan membangun hubungan dan adaptasi yang baik Persyaratan minimum:Tersedia jam fleksibelTidak diperlukan pengalaman kerja untuk posisi iniPelamar harus memiliki KTP","3 hari yang lalu",https://id.jobstreetexpress.com//job/Admin-1bc5ddec7ab67c1c92dadd63b8105e9f?abstract_type=original&fsv=true&sfjt=&sl=&sol_srt=ae991902-b33c-4e7a-8e91-4424a949115c&sp=serp&sponsored=false&sq=&sr=25&tk=zsNizCAVEh2aaDEmHGCq-KwgX9BbpHI8yeVwl6QdK&trigger_source=serp
